"Original_name","Name","SPI","Off","Def"
"Arsenal","Arsenal","85.8","2.5","0.5"
"Man. City","Manchester City","92.3","2.9","0.3"
"Man. United","Manchester Utd","79.6","2.3","0.7"
"Newcastle","Newcastle Utd","80.3","2.1","0.5"
"Liverpool","Liverpool","84.4","2.6","0.6"
"Tottenham","Tottenham","75.8","2.2","0.8"
"Brighton","Brighton","80.8","2.3","0.6"
"Brentford","Brentford","74.2","2.1","0.8"
"Chelsea","Chelsea","79.7","2.0","0.5"
"Aston Villa","Aston Villa","72.8","2.0","0.8"
"Fulham","Fulham","67.2","1.8","0.9"
"Crystal Palace","Crystal Palace","67.8","1.6","0.7"
"Leicester","Leicester City","69.9","1.9","0.9"
"West Ham","West Ham","71.7","1.9","0.7"
"Leeds United","Leeds United","66.6","1.9","1.0"
"Wolves","Wolves","64.8","1.7","0.9"
"Everton","Everton","61.4","1.7","1.0"
"Bournemouth","Bournemouth","56.4","1.6","1.2"
"Nottm Forest","Nott'ham Forest","54.4","1.5","1.2"
"Southampton","Southampton","62.4","1.6","0.9"
