"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","92.7","2.9","0.3"
"Liverpool","Liverpool","89.7","2.7","0.4"
"Chelsea","Chelsea","86.0","2.4","0.4"
"Tottenham","Tottenham","81.9","2.4","0.6"
"Arsenal","Arsenal","79.2","2.2","0.6"
"Brighton","Brighton","74.2","2.0","0.7"
"Man. United","Manchester Utd","74.6","2.1","0.8"
"Aston Villa","Aston Villa","73.6","2.0","0.7"
"Newcastle","Newcastle Utd","70.3","1.8","0.8"
"Leicester","Leicester City","70.9","2.0","0.8"
"West Ham","West Ham","70.1","1.9","0.8"
"Brentford","Brentford","69.1","1.9","0.8"
"Crystal Palace","Crystal Palace","70.6","1.8","0.7"
"Wolves","Wolves","68.1","1.8","0.8"
"Leeds United","Leeds United","61.7","1.8","1.1"
"Everton","Everton","63.7","1.7","1.0"
"Southampton","Southampton","61.1","1.8","1.1"
"Fulham","Fulham","60.0","1.6","1.0"
"Bournemouth","Bournemouth","58.6","1.5","1.0"
"Nottm Forest","Nott'ham Forest","55.6","1.5","1.1"
