"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","92.3","3.0","0.3"
"Liverpool","Liverpool","89.7","2.8","0.4"
"Tottenham","Tottenham","82.0","2.3","0.6"
"Arsenal","Arsenal","80.7","2.3","0.6"
"Chelsea","Chelsea","81.5","2.2","0.6"
"Man. United","Manchester Utd","75.6","2.1","0.8"
"Brighton","Brighton","76.3","2.0","0.6"
"Newcastle","Newcastle Utd","73.2","1.9","0.7"
"Brentford","Brentford","69.8","2.0","0.9"
"Crystal Palace","Crystal Palace","70.2","1.8","0.8"
"West Ham","West Ham","71.0","1.8","0.7"
"Aston Villa","Aston Villa","70.2","1.9","0.8"
"Leeds United","Leeds United","64.7","1.9","1.0"
"Southampton","Southampton","64.1","1.8","1.0"
"Wolves","Wolves","67.6","1.7","0.8"
"Fulham","Fulham","61.4","1.7","1.0"
"Leicester","Leicester City","67.4","1.9","1.0"
"Everton","Everton","64.0","1.7","0.9"
"Bournemouth","Bournemouth","54.4","1.5","1.1"
"Nottm Forest","Nott'ham Forest","55.0","1.5","1.1"
