"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","92.3","2.8","0.3"
"Arsenal","Arsenal","83.9","2.5","0.6"
"Man. United","Manchester Utd","79.1","2.4","0.7"
"Newcastle","Newcastle Utd","83.7","2.4","0.5"
"Liverpool","Liverpool","83.9","2.6","0.7"
"Brighton","Brighton","80.9","2.5","0.7"
"Aston Villa","Aston Villa","79.3","2.0","0.5"
"Tottenham","Tottenham","72.1","2.2","1.0"
"Brentford","Brentford","77.1","2.1","0.7"
"Fulham","Fulham","68.2","1.9","0.9"
"Crystal Palace","Crystal Palace","73.5","1.8","0.6"
"Chelsea","Chelsea","75.8","2.0","0.7"
"Wolves","Wolves","59.1","1.6","1.0"
"West Ham","West Ham","70.9","1.9","0.8"
"Bournemouth","Bournemouth","59.6","1.7","1.1"
"Nottm Forest","Nott'ham Forest","56.1","1.6","1.2"
"Everton","Everton","63.6","1.8","1.0"
"Leicester","Leicester City","64.4","1.9","1.0"
"Leeds United","Leeds United","59.0","1.8","1.3"
"Southampton","Southampton","56.7","1.7","1.2"
