"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.1","3.0","0.3"
"Arsenal","Arsenal","84.4","2.5","0.6"
"Newcastle","Newcastle Utd","82.2","2.2","0.5"
"Man. United","Manchester Utd","79.2","2.3","0.7"
"Tottenham","Tottenham","75.1","2.1","0.8"
"Brighton","Brighton","81.3","2.3","0.6"
"Liverpool","Liverpool","83.8","2.6","0.6"
"Aston Villa","Aston Villa","74.7","2.0","0.7"
"Brentford","Brentford","73.9","2.1","0.8"
"Chelsea","Chelsea","80.8","2.0","0.5"
"Fulham","Fulham","65.2","1.8","0.9"
"Crystal Palace","Crystal Palace","71.8","1.8","0.7"
"West Ham","West Ham","71.0","1.8","0.7"
"Wolves","Wolves","64.1","1.6","0.9"
"Bournemouth","Bournemouth","59.4","1.7","1.1"
"Leeds United","Leeds United","63.0","1.9","1.1"
"Everton","Everton","60.9","1.7","1.0"
"Leicester","Leicester City","65.8","1.8","0.9"
"Nottm Forest","Nott'ham Forest","54.2","1.5","1.1"
"Southampton","Southampton","61.8","1.6","0.9"
