"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","92.2","3.0","0.4"
"Liverpool","Liverpool","90.0","2.8","0.4"
"Arsenal","Arsenal","81.4","2.3","0.6"
"Tottenham","Tottenham","81.6","2.3","0.6"
"Chelsea","Chelsea","81.9","2.3","0.6"
"Man. United","Manchester Utd","75.0","2.1","0.8"
"Brighton","Brighton","75.4","1.9","0.6"
"Newcastle","Newcastle Utd","72.2","1.9","0.8"
"Crystal Palace","Crystal Palace","71.2","1.9","0.7"
"Brentford","Brentford","69.9","2.0","0.9"
"West Ham","West Ham","70.4","1.8","0.8"
"Leeds United","Leeds United","65.2","1.8","1.0"
"Aston Villa","Aston Villa","70.2","1.9","0.8"
"Southampton","Southampton","63.5","1.8","1.0"
"Leicester","Leicester City","69.1","1.9","0.9"
"Fulham","Fulham","62.1","1.7","1.0"
"Wolves","Wolves","68.0","1.7","0.8"
"Everton","Everton","63.3","1.7","1.0"
"Nottm Forest","Nott'ham Forest","56.0","1.5","1.1"
"Bournemouth","Bournemouth","54.0","1.5","1.1"
