"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.0","3.0","0.3"
"Arsenal","Arsenal","83.8","2.3","0.5"
"Liverpool","Liverpool","88.2","2.8","0.5"
"Chelsea","Chelsea","83.4","2.2","0.5"
"Tottenham","Tottenham","80.5","2.3","0.6"
"Man. United","Manchester Utd","78.3","2.2","0.7"
"Newcastle","Newcastle Utd","76.5","2.0","0.6"
"Brighton","Brighton","77.4","2.0","0.6"
"West Ham","West Ham","74.5","1.9","0.6"
"Crystal Palace","Crystal Palace","69.9","1.8","0.8"
"Brentford","Brentford","69.0","1.9","0.9"
"Aston Villa","Aston Villa","71.0","1.8","0.7"
"Fulham","Fulham","59.8","1.7","1.1"
"Leeds United","Leeds United","65.1","1.8","0.9"
"Leicester","Leicester City","67.3","1.9","0.9"
"Southampton","Southampton","62.0","1.7","1.0"
"Everton","Everton","63.2","1.6","0.9"
"Wolves","Wolves","65.6","1.6","0.8"
"Bournemouth","Bournemouth","55.7","1.5","1.1"
"Nottm Forest","Nott'ham Forest","54.3","1.5","1.1"
