"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","90.4","2.8","0.4"
"Arsenal","Arsenal","84.5","2.4","0.5"
"Man. United","Manchester Utd","79.7","2.3","0.7"
"Newcastle","Newcastle Utd","80.4","2.1","0.5"
"Tottenham","Tottenham","77.8","2.3","0.7"
"Brighton","Brighton","80.3","2.3","0.6"
"Liverpool","Liverpool","82.0","2.6","0.7"
"Chelsea","Chelsea","80.7","2.0","0.5"
"Brentford","Brentford","74.1","2.1","0.8"
"Fulham","Fulham","68.8","1.9","0.9"
"Aston Villa","Aston Villa","71.8","1.9","0.8"
"Leicester","Leicester City","70.1","2.0","0.9"
"Crystal Palace","Crystal Palace","65.7","1.7","0.8"
"West Ham","West Ham","73.4","1.9","0.7"
"Wolves","Wolves","64.9","1.6","0.8"
"Leeds United","Leeds United","67.6","1.9","0.9"
"Nottm Forest","Nott'ham Forest","58.0","1.5","1.0"
"Everton","Everton","60.5","1.6","1.0"
"Bournemouth","Bournemouth","56.1","1.6","1.1"
"Southampton","Southampton","60.3","1.7","1.0"
