"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.4","3.1","0.3"
"Arsenal","Arsenal","83.9","2.4","0.5"
"Liverpool","Liverpool","87.6","2.8","0.6"
"Tottenham","Tottenham","80.9","2.3","0.6"
"Chelsea","Chelsea","82.8","2.3","0.5"
"Man. United","Manchester Utd","76.4","2.2","0.8"
"Brighton","Brighton","77.2","2.1","0.6"
"Newcastle","Newcastle Utd","75.6","2.1","0.7"
"West Ham","West Ham","72.9","1.9","0.7"
"Crystal Palace","Crystal Palace","69.5","1.8","0.8"
"Aston Villa","Aston Villa","72.6","1.8","0.7"
"Brentford","Brentford","68.1","1.9","0.9"
"Leeds United","Leeds United","63.8","1.8","1.0"
"Everton","Everton","64.3","1.7","0.9"
"Leicester","Leicester City","66.7","2.0","1.0"
"Wolves","Wolves","66.4","1.7","0.8"
"Southampton","Southampton","62.7","1.8","1.0"
"Fulham","Fulham","58.0","1.7","1.1"
"Bournemouth","Bournemouth","55.8","1.5","1.1"
"Nottm Forest","Nott'ham Forest","53.9","1.5","1.2"
