"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","92.9","2.9","0.3"
"Arsenal","Arsenal","82.7","2.5","0.7"
"Newcastle","Newcastle Utd","83.8","2.4","0.6"
"Man. United","Manchester Utd","77.9","2.2","0.7"
"Liverpool","Liverpool","84.7","2.6","0.6"
"Brighton","Brighton","80.4","2.4","0.7"
"Tottenham","Tottenham","72.2","2.2","0.9"
"Aston Villa","Aston Villa","77.8","2.0","0.5"
"Brentford","Brentford","76.2","2.1","0.7"
"Fulham","Fulham","68.6","1.8","0.8"
"Crystal Palace","Crystal Palace","73.6","1.8","0.6"
"Chelsea","Chelsea","76.5","2.0","0.6"
"Wolves","Wolves","62.4","1.6","0.9"
"Bournemouth","Bournemouth","58.9","1.7","1.1"
"West Ham","West Ham","70.1","1.9","0.8"
"Nottm Forest","Nott'ham Forest","55.3","1.7","1.3"
"Everton","Everton","62.7","1.8","1.1"
"Leeds United","Leeds United","60.5","1.9","1.2"
"Leicester","Leicester City","64.7","1.9","1.1"
"Southampton","Southampton","58.5","1.6","1.1"
