"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","91.2","2.9","0.4"
"Arsenal","Arsenal","85.9","2.3","0.4"
"Liverpool","Liverpool","86.4","2.8","0.6"
"Man. United","Manchester Utd","80.0","2.3","0.7"
"Newcastle","Newcastle Utd","79.9","2.2","0.6"
"Tottenham","Tottenham","79.4","2.3","0.7"
"Chelsea","Chelsea","81.0","2.2","0.5"
"Brighton","Brighton","78.2","2.1","0.6"
"Crystal Palace","Crystal Palace","69.5","1.7","0.7"
"Aston Villa","Aston Villa","72.2","1.9","0.7"
"Brentford","Brentford","68.3","2.0","1.0"
"Leicester","Leicester City","70.2","2.0","0.9"
"West Ham","West Ham","73.8","1.8","0.6"
"Fulham","Fulham","62.0","1.8","1.1"
"Leeds United","Leeds United","65.1","1.9","1.1"
"Southampton","Southampton","63.2","1.8","1.0"
"Everton","Everton","60.7","1.6","1.0"
"Bournemouth","Bournemouth","56.6","1.6","1.1"
"Wolves","Wolves","62.9","1.6","0.9"
"Nottm Forest","Nott'ham Forest","55.3","1.5","1.1"
