"Original_name","Name","SPI","Off","Def"
"Arsenal","Arsenal","85.8","2.5","0.5"
"Man. City","Manchester City","92.3","2.9","0.3"
"Man. United","Manchester Utd","79.6","2.3","0.7"
"Tottenham","Tottenham","77.3","2.2","0.7"
"Newcastle","Newcastle Utd","79.4","2.1","0.5"
"Liverpool","Liverpool","84.4","2.6","0.6"
"Brighton","Brighton","80.8","2.3","0.6"
"Brentford","Brentford","74.7","2.1","0.8"
"Chelsea","Chelsea","80.4","2.0","0.5"
"Fulham","Fulham","67.2","1.8","0.9"
"Aston Villa","Aston Villa","71.6","1.9","0.8"
"Crystal Palace","Crystal Palace","67.8","1.6","0.7"
"Leicester","Leicester City","69.1","1.9","0.9"
"Wolves","Wolves","64.9","1.6","0.8"
"West Ham","West Ham","71.7","1.9","0.7"
"Leeds United","Leeds United","67.5","1.8","0.9"
"Bournemouth","Bournemouth","57.8","1.6","1.1"
"Nottm Forest","Nott'ham Forest","55.5","1.5","1.1"
"Everton","Everton","61.0","1.7","1.0"
"Southampton","Southampton","61.6","1.6","0.9"
