"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","92.5","2.9","0.3"
"Arsenal","Arsenal","83.5","2.6","0.7"
"Newcastle","Newcastle Utd","83.0","2.3","0.5"
"Man. United","Manchester Utd","77.7","2.2","0.7"
"Liverpool","Liverpool","83.7","2.6","0.7"
"Brighton","Brighton","82.7","2.5","0.6"
"Tottenham","Tottenham","72.9","2.2","0.9"
"Aston Villa","Aston Villa","77.2","1.9","0.6"
"Brentford","Brentford","73.9","2.0","0.7"
"Fulham","Fulham","66.9","1.8","0.9"
"Chelsea","Chelsea","77.7","2.0","0.6"
"Crystal Palace","Crystal Palace","72.3","1.8","0.6"
"Wolves","Wolves","62.7","1.6","0.9"
"Bournemouth","Bournemouth","60.2","1.8","1.1"
"West Ham","West Ham","71.5","2.0","0.8"
"Nottm Forest","Nott'ham Forest","55.8","1.6","1.2"
"Leicester","Leicester City","65.8","2.0","1.1"
"Leeds United","Leeds United","60.1","1.8","1.2"
"Everton","Everton","60.1","1.7","1.1"
"Southampton","Southampton","59.7","1.6","1.0"
