"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","92.6","3.0","0.3"
"Arsenal","Arsenal","83.8","2.6","0.6"
"Man. United","Manchester Utd","79.3","2.3","0.7"
"Newcastle","Newcastle Utd","80.5","2.2","0.6"
"Brighton","Brighton","82.5","2.4","0.6"
"Liverpool","Liverpool","83.8","2.6","0.6"
"Tottenham","Tottenham","74.3","2.2","0.8"
"Aston Villa","Aston Villa","76.6","2.0","0.6"
"Brentford","Brentford","73.5","2.1","0.8"
"Fulham","Fulham","66.0","1.8","0.9"
"Chelsea","Chelsea","78.8","2.0","0.5"
"Crystal Palace","Crystal Palace","72.7","1.8","0.6"
"Wolves","Wolves","64.9","1.6","0.8"
"Bournemouth","Bournemouth","59.8","1.7","1.1"
"West Ham","West Ham","71.1","1.8","0.7"
"Leeds United","Leeds United","63.0","1.9","1.1"
"Leicester","Leicester City","67.6","1.9","0.9"
"Everton","Everton","59.6","1.7","1.1"
"Nottm Forest","Nott'ham Forest","53.2","1.5","1.2"
"Southampton","Southampton","61.0","1.6","0.9"
