"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","92.4","2.9","0.3"
"Arsenal","Arsenal","82.5","2.6","0.7"
"Newcastle","Newcastle Utd","83.2","2.4","0.6"
"Man. United","Manchester Utd","78.0","2.3","0.7"
"Liverpool","Liverpool","83.5","2.7","0.7"
"Brighton","Brighton","82.5","2.5","0.6"
"Tottenham","Tottenham","72.2","2.2","1.0"
"Aston Villa","Aston Villa","76.8","2.0","0.6"
"Brentford","Brentford","74.0","2.1","0.8"
"Fulham","Fulham","66.5","1.8","0.9"
"Crystal Palace","Crystal Palace","72.6","1.8","0.6"
"Chelsea","Chelsea","78.3","2.0","0.5"
"Bournemouth","Bournemouth","60.8","1.8","1.1"
"Wolves","Wolves","62.9","1.6","0.9"
"West Ham","West Ham","71.4","2.0","0.8"
"Leicester","Leicester City","66.7","1.9","1.0"
"Nottm Forest","Nott'ham Forest","55.8","1.6","1.2"
"Leeds United","Leeds United","59.9","1.8","1.2"
"Everton","Everton","60.1","1.7","1.1"
"Southampton","Southampton","59.7","1.6","1.0"
