"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.0","3.0","0.3"
"Arsenal","Arsenal","82.9","2.3","0.5"
"Liverpool","Liverpool","88.8","2.9","0.5"
"Chelsea","Chelsea","83.7","2.3","0.5"
"Tottenham","Tottenham","81.5","2.3","0.6"
"Man. United","Manchester Utd","77.1","2.2","0.7"
"Brighton","Brighton","76.8","2.1","0.7"
"Newcastle","Newcastle Utd","75.9","2.0","0.7"
"West Ham","West Ham","73.5","1.9","0.7"
"Crystal Palace","Crystal Palace","69.6","1.8","0.7"
"Brentford","Brentford","68.3","2.0","0.9"
"Aston Villa","Aston Villa","73.0","1.8","0.7"
"Leeds United","Leeds United","64.9","1.8","1.0"
"Everton","Everton","63.4","1.7","0.9"
"Wolves","Wolves","66.1","1.6","0.8"
"Leicester","Leicester City","67.1","1.9","1.0"
"Fulham","Fulham","57.7","1.7","1.2"
"Southampton","Southampton","61.9","1.7","1.0"
"Bournemouth","Bournemouth","55.6","1.5","1.1"
"Nottm Forest","Nott'ham Forest","54.5","1.5","1.1"
