"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","92.9","3.0","0.3"
"Arsenal","Arsenal","83.7","2.3","0.5"
"Liverpool","Liverpool","87.0","2.8","0.6"
"Chelsea","Chelsea","83.8","2.3","0.5"
"Man. United","Manchester Utd","78.7","2.2","0.7"
"Tottenham","Tottenham","79.9","2.3","0.7"
"Newcastle","Newcastle Utd","77.0","2.0","0.6"
"Brighton","Brighton","77.5","2.0","0.6"
"West Ham","West Ham","74.9","1.9","0.6"
"Crystal Palace","Crystal Palace","68.5","1.8","0.8"
"Aston Villa","Aston Villa","72.9","1.9","0.7"
"Brentford","Brentford","66.5","1.9","1.0"
"Fulham","Fulham","60.6","1.8","1.1"
"Leicester","Leicester City","68.0","1.9","0.9"
"Everton","Everton","64.7","1.7","0.9"
"Southampton","Southampton","62.3","1.7","1.0"
"Leeds United","Leeds United","63.7","1.8","1.0"
"Wolves","Wolves","64.6","1.6","0.8"
"Bournemouth","Bournemouth","55.4","1.5","1.1"
"Nottm Forest","Nott'ham Forest","56.1","1.5","1.1"
