"Original_name","Name","SPI","Off","Def"
"Arsenal","Arsenal","85.1","2.5","0.5"
"Man. City","Manchester City","90.6","2.8","0.4"
"Man. United","Manchester Utd","79.0","2.3","0.7"
"Liverpool","Liverpool","84.8","2.7","0.6"
"Tottenham","Tottenham","78.4","2.2","0.7"
"Brighton","Brighton","82.0","2.3","0.6"
"Newcastle","Newcastle Utd","79.5","2.0","0.5"
"Brentford","Brentford","73.7","2.1","0.8"
"Fulham","Fulham","68.4","1.8","0.8"
"Chelsea","Chelsea","80.1","2.0","0.5"
"Aston Villa","Aston Villa","71.4","1.9","0.8"
"Crystal Palace","Crystal Palace","66.6","1.6","0.7"
"Leicester","Leicester City","69.2","1.9","0.9"
"Wolves","Wolves","65.0","1.6","0.8"
"West Ham","West Ham","72.3","1.8","0.7"
"Leeds United","Leeds United","67.3","1.8","0.9"
"Nottm Forest","Nott'ham Forest","55.4","1.5","1.1"
"Everton","Everton","61.1","1.7","1.0"
"Southampton","Southampton","60.9","1.6","1.0"
"Bournemouth","Bournemouth","57.1","1.6","1.2"
