"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","92.9","2.9","0.3"
"Liverpool","Liverpool","89.3","2.7","0.4"
"Chelsea","Chelsea","85.8","2.4","0.4"
"Tottenham","Tottenham","81.9","2.4","0.6"
"Arsenal","Arsenal","80.8","2.3","0.6"
"Brighton","Brighton","74.8","1.9","0.7"
"Crystal Palace","Crystal Palace","72.5","1.9","0.7"
"Man. United","Manchester Utd","73.3","2.1","0.8"
"Aston Villa","Aston Villa","71.6","2.0","0.8"
"Newcastle","Newcastle Utd","70.1","1.8","0.7"
"Brentford","Brentford","68.8","1.9","0.9"
"West Ham","West Ham","69.5","1.9","0.8"
"Leicester","Leicester City","68.0","1.9","0.9"
"Wolves","Wolves","68.1","1.7","0.8"
"Leeds United","Leeds United","62.1","1.8","1.1"
"Southampton","Southampton","62.3","1.8","1.1"
"Fulham","Fulham","61.6","1.7","1.0"
"Everton","Everton","63.3","1.7","1.0"
"Bournemouth","Bournemouth","57.5","1.5","1.0"
"Nottm Forest","Nott'ham Forest","56.5","1.5","1.1"
