"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.0","3.0","0.3"
"Liverpool","Liverpool","89.0","2.8","0.5"
"Arsenal","Arsenal","81.5","2.3","0.6"
"Tottenham","Tottenham","81.7","2.4","0.6"
"Chelsea","Chelsea","81.3","2.2","0.5"
"Man. United","Manchester Utd","75.9","2.1","0.7"
"Brighton","Brighton","76.3","2.0","0.6"
"Newcastle","Newcastle Utd","72.9","1.9","0.7"
"Crystal Palace","Crystal Palace","70.2","1.8","0.8"
"Brentford","Brentford","68.8","2.0","0.9"
"Aston Villa","Aston Villa","71.0","1.8","0.7"
"West Ham","West Ham","71.1","1.8","0.7"
"Leeds United","Leeds United","64.7","1.9","1.0"
"Fulham","Fulham","61.7","1.7","1.0"
"Southampton","Southampton","63.9","1.8","1.0"
"Wolves","Wolves","67.2","1.7","0.8"
"Everton","Everton","64.4","1.7","0.9"
"Leicester","Leicester City","67.1","2.0","1.0"
"Bournemouth","Bournemouth","54.7","1.5","1.1"
"Nottm Forest","Nott'ham Forest","54.2","1.5","1.2"
