"Original_name","Name","SPI","Off","Def"
"Arsenal","Arsenal","85.0","2.4","0.5"
"Man. City","Manchester City","90.6","2.8","0.4"
"Man. United","Manchester Utd","81.2","2.4","0.7"
"Tottenham","Tottenham","77.9","2.2","0.7"
"Liverpool","Liverpool","83.0","2.6","0.7"
"Newcastle","Newcastle Utd","79.7","2.1","0.5"
"Brighton","Brighton","80.4","2.3","0.6"
"Brentford","Brentford","73.7","2.1","0.8"
"Fulham","Fulham","68.9","1.8","0.8"
"Chelsea","Chelsea","80.4","2.0","0.5"
"Aston Villa","Aston Villa","70.4","1.9","0.8"
"Crystal Palace","Crystal Palace","66.3","1.7","0.8"
"Leicester","Leicester City","68.9","2.0","0.9"
"West Ham","West Ham","72.8","1.8","0.7"
"Wolves","Wolves","64.6","1.6","0.8"
"Nottm Forest","Nott'ham Forest","58.1","1.5","1.0"
"Leeds United","Leeds United","66.6","1.9","0.9"
"Everton","Everton","61.7","1.6","0.9"
"Bournemouth","Bournemouth","56.5","1.6","1.1"
"Southampton","Southampton","61.3","1.7","1.0"
