"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","92.7","2.9","0.3"
"Arsenal","Arsenal","82.2","2.5","0.7"
"Man. United","Manchester Utd","78.1","2.2","0.7"
"Newcastle","Newcastle Utd","84.5","2.4","0.5"
"Liverpool","Liverpool","84.1","2.6","0.6"
"Brighton","Brighton","81.6","2.5","0.7"
"Aston Villa","Aston Villa","78.6","2.0","0.5"
"Tottenham","Tottenham","72.1","2.2","1.0"
"Brentford","Brentford","76.3","2.1","0.7"
"Fulham","Fulham","68.5","1.9","0.9"
"Crystal Palace","Crystal Palace","73.1","1.8","0.6"
"Chelsea","Chelsea","76.7","2.0","0.6"
"Wolves","Wolves","61.4","1.6","0.9"
"West Ham","West Ham","71.1","1.9","0.8"
"Bournemouth","Bournemouth","59.0","1.7","1.1"
"Nottm Forest","Nott'ham Forest","56.4","1.7","1.2"
"Everton","Everton","63.6","1.9","1.1"
"Leicester","Leicester City","64.2","1.9","1.0"
"Leeds United","Leeds United","59.2","1.8","1.2"
"Southampton","Southampton","57.3","1.6","1.1"
