"Original_name","Name","SPI","Off","Def"
"Arsenal","Arsenal","85.7","2.4","0.5"
"Man. City","Manchester City","90.6","2.8","0.4"
"Man. United","Manchester Utd","81.3","2.4","0.6"
"Tottenham","Tottenham","78.4","2.2","0.7"
"Liverpool","Liverpool","82.9","2.5","0.7"
"Newcastle","Newcastle Utd","79.5","2.0","0.5"
"Brighton","Brighton","80.4","2.3","0.6"
"Brentford","Brentford","73.7","2.1","0.8"
"Fulham","Fulham","68.4","1.8","0.8"
"Chelsea","Chelsea","80.1","2.0","0.5"
"Aston Villa","Aston Villa","70.6","1.9","0.8"
"Crystal Palace","Crystal Palace","66.8","1.6","0.8"
"Leicester","Leicester City","68.7","1.9","0.9"
"West Ham","West Ham","74.2","1.9","0.6"
"Leeds United","Leeds United","67.3","1.8","0.9"
"Wolves","Wolves","64.8","1.6","0.8"
"Nottm Forest","Nott'ham Forest","56.2","1.5","1.1"
"Everton","Everton","60.8","1.6","1.0"
"Bournemouth","Bournemouth","56.8","1.6","1.1"
"Southampton","Southampton","61.2","1.6","1.0"
