"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Tottenham",1,NA,0,1,1,0,0,3,4,1,3,49.7,7.3,0.7
"Manchester City",4,NA,0,1,1,0,0,3,2,0,2,90,49.1,0
"Arsenal",2,NA,0,1,1,0,0,3,2,0,2,37.3,4.6,1.6
"Newcastle Utd",5,NA,0,1,1,0,0,3,2,0,2,6,0.3,9.6
"Bournemouth",3,NA,0,1,1,0,0,3,2,0,2,1.3,0,33.5
"Brighton",6,NA,0,1,1,0,0,3,2,1,1,18.3,1.8,4.2
"Leeds United",7,NA,0,1,1,0,0,3,2,1,1,2.8,0,22.1
"Chelsea",8,NA,0,1,1,0,0,3,1,0,1,62.4,12.3,0.2
"Liverpool",12,NA,0,1,0,0,1,1,2,2,0,71.8,21.7,0
"Leicester City",11,NA,0,1,0,0,1,1,2,2,0,10.9,0.7,7.5
"Brentford",9,NA,0,1,0,0,1,1,2,2,0,8.3,0.3,10
"Fulham",10,NA,0,1,0,0,1,1,2,2,0,1.3,0,32.9
"Manchester Utd",13,NA,0,1,0,1,0,0,1,2,-1,9.7,0.2,7.1
"Wolves",14,NA,0,1,0,1,0,0,1,2,-1,3.9,0.3,17.3
"Everton",15,NA,0,1,0,1,0,0,0,1,-1,1.4,0,34.7
"Aston Villa",16,NA,0,1,0,1,0,0,0,2,-2,10.7,1,6
"West Ham",19,NA,0,1,0,1,0,0,0,2,-2,6.4,0.3,13.9
"Crystal Palace",17,NA,0,1,0,1,0,0,0,2,-2,6,0.1,13.2
"Nott'ham Forest",18,NA,0,1,0,1,0,0,0,2,-2,0.3,0,56
"Southampton",20,NA,0,1,0,1,0,0,1,4,-3,1.5,0,29.5
