"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,28,22,3,3,69,66,26,40,100,69.9,0
"Manchester City",2,2,0,27,19,4,4,61,67,25,42,99.8,30,0
"Manchester Utd",3,3,0,26,15,6,5,50,41,35,6,80,0.1,0
"Tottenham",4,4,0,28,15,9,4,49,52,40,12,27.8,0,0
"Newcastle Utd",5,5,0,26,12,3,11,47,39,19,20,45.1,0,0
"Liverpool",6,6,0,26,12,8,6,42,47,29,18,21.5,0,0
"Brighton",7,7,0,25,12,7,6,42,46,31,15,22.3,0,0
"Brentford",8,8,0,27,10,5,12,42,43,34,9,2.4,0,0
"Fulham",9,9,0,27,11,10,6,39,38,37,1,0.4,0,0
"Chelsea",10,10,0,27,10,9,8,38,29,28,1,0.5,0,0
"Aston Villa",11,11,0,27,11,11,5,38,35,39,-4,0.2,0,0
"Crystal Palace",12,12,0,28,6,13,9,27,22,38,-16,0,0,13.8
"Wolves",13,13,0,28,7,15,6,27,22,41,-19,0,0,23.6
"Leeds United",14,19,5,27,6,13,8,26,35,44,-9,0,0,18.8
"Everton",15,15,0,28,6,14,8,26,22,40,-18,0,0,35.6
"Nott'ham Forest",16,14,-2,27,6,13,8,26,22,49,-27,0,0,44.2
"Leicester City",17,16,-1,27,7,16,4,25,38,47,-9,0,0,18.3
"West Ham",18,17,-1,26,6,14,6,24,24,34,-10,0,0,21.1
"Bournemouth",19,18,-1,27,6,15,6,24,25,54,-29,0,0,57.1
"Southampton",20,20,0,28,6,17,5,23,23,46,-23,0,0,67.5
