"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,27,21,3,3,66,62,25,37,100,62,0
"Manchester City",2,2,0,27,19,4,4,61,67,25,42,100,38,0
"Manchester Utd",3,3,0,26,15,6,5,50,41,35,6,75.7,0,0
"Tottenham",4,4,0,27,15,9,3,48,49,37,12,38,0,0
"Newcastle Utd",5,6,1,25,11,3,11,44,37,18,19,37,0,0
"Liverpool",6,5,-1,26,12,8,6,42,47,29,18,22.1,0,0
"Brighton",7,7,0,25,12,7,6,42,46,31,15,22.7,0,0
"Brentford",8,8,0,26,10,5,11,41,42,33,9,3.2,0,0
"Fulham",9,9,0,27,11,10,6,39,38,37,1,0.6,0,0
"Chelsea",10,10,0,26,10,9,7,37,27,26,1,0.7,0,0
"Aston Villa",11,11,0,26,10,11,5,35,32,39,-7,0,0,0.3
"Crystal Palace",12,12,0,27,6,12,9,27,21,34,-13,0,0,13.6
"Wolves",13,13,0,27,7,14,6,27,20,37,-17,0,0,16.5
"Nott'ham Forest",14,14,0,26,6,12,8,26,21,47,-26,0,0,36.5
"Everton",15,18,3,27,6,14,7,25,20,38,-18,0,0,41.5
"Leicester City",16,15,-1,26,7,16,3,24,37,46,-9,0,0,20.8
"West Ham",17,16,-1,26,6,14,6,24,24,34,-10,0,0,21.2
"Bournemouth",18,20,2,26,6,14,6,24,25,51,-26,0,0,43.8
"Leeds United",19,17,-2,26,5,13,8,23,31,42,-11,0,0,36.3
"Southampton",20,19,-1,27,6,17,4,22,20,43,-23,0,0,69.5
