"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,6,5,1,0,15,14,7,7,62.4,8.6,0
"Manchester City",2,2,0,6,4,0,2,14,20,6,14,95.7,61.8,0
"Tottenham",3,3,0,6,4,0,2,14,12,5,7,53.2,7.1,0
"Brighton",4,4,0,6,4,1,1,13,11,5,6,29.7,1.9,0.4
"Manchester Utd",5,5,0,6,4,2,0,12,8,8,0,26.7,1.3,0.9
"Chelsea",6,10,4,6,3,2,1,10,8,9,-1,25.3,2.5,0.9
"Liverpool",7,6,-1,6,2,1,3,9,15,6,9,72.6,16.5,0
"Brentford",8,11,3,6,2,1,3,9,15,9,6,9.6,0.1,6.5
"Leeds United",9,7,-2,6,2,2,2,8,10,10,0,3.5,0,11.3
"Fulham",10,8,-2,6,2,2,2,8,9,9,0,1.9,0,16.7
"Newcastle Utd",11,12,1,6,1,1,4,7,7,6,1,7.6,0,6.9
"Southampton",12,9,-3,6,2,3,1,7,7,10,-3,2.5,0,19.2
"Bournemouth",13,16,3,6,2,3,1,7,5,18,-13,0.2,0,42.5
"Wolves",14,18,4,6,1,2,3,6,3,4,-1,1.5,0.1,21.5
"Crystal Palace",15,13,-2,6,1,2,3,6,7,9,-2,3.1,0,14.9
"Everton",16,17,1,6,0,2,4,4,4,6,-2,0.3,0,30.3
"Aston Villa",17,19,2,6,1,4,1,4,5,10,-5,1.8,0,15.7
"West Ham",18,14,-4,6,1,4,1,4,3,8,-5,1.9,0,16.6
"Nott'ham Forest",19,15,-4,6,1,4,1,4,4,14,-10,0,0,58
"Leicester City",20,20,0,6,0,5,1,1,8,16,-8,0.5,0.1,37.7
