"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,10,9,1,0,27,24,10,14,84.6,22,0
"Manchester City",2,2,0,10,7,1,2,23,33,10,23,95.8,55.2,0
"Tottenham",3,3,0,10,7,1,2,23,22,10,12,59.8,7.6,0
"Chelsea",4,5,1,9,6,2,1,19,15,10,5,52.1,4.6,0
"Manchester Utd",5,6,1,9,5,3,1,16,13,15,-2,24.2,1.4,0.3
"Newcastle Utd",6,7,1,10,3,1,6,15,17,9,8,8.6,0.5,1.6
"Brighton",7,4,-3,9,4,3,2,14,14,11,3,10.4,0.2,0.9
"Liverpool",8,9,1,9,3,2,4,13,21,12,9,56,8.4,0
"Brentford",9,10,1,10,3,3,4,13,18,17,1,2.4,0,5.3
"Bournemouth",10,13,3,10,3,3,4,13,10,22,-12,0.1,0,26.6
"Fulham",11,8,-3,10,3,4,3,12,16,20,-4,0.2,0,24.2
"West Ham",12,15,3,10,3,5,2,11,9,11,-2,1.5,0,7.5
"Crystal Palace",13,17,4,9,2,3,4,10,10,12,-2,2.4,0.1,5.9
"Everton",14,11,-3,10,2,4,4,10,8,11,-3,0.3,0,21.8
"Leeds United",15,12,-3,9,2,4,3,9,11,13,-2,0.4,0,17.9
"Aston Villa",16,14,-2,10,2,5,3,9,7,13,-6,0.9,0,11.3
"Wolves",17,18,1,10,2,5,3,9,4,12,-8,0.1,0,28.4
"Southampton",18,16,-2,10,2,6,2,8,9,18,-9,0.1,0,31.9
"Leicester City",19,19,0,10,1,7,2,5,15,24,-9,0.1,0,40.4
"Nott'ham Forest",20,20,0,10,1,7,2,5,7,23,-16,0,0,76
