"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,17,14,1,2,44,40,14,26,98.1,55.8,0
"Manchester City",2,2,0,18,12,3,3,39,46,18,28,96.3,35.3,0
"Manchester Utd",3,4,1,18,12,4,2,38,29,21,8,74.5,5.8,0
"Newcastle Utd",4,3,-1,18,9,1,8,35,32,11,21,50.6,2.1,0
"Tottenham",5,5,0,18,10,5,3,33,37,25,12,27.1,0.2,0
"Fulham",6,7,1,19,9,6,4,31,32,28,4,3.6,0,0.1
"Brighton",7,9,2,18,9,6,3,30,35,25,10,19.3,0.5,0
"Brentford",8,10,2,19,7,4,8,29,32,28,4,3.3,0,0
"Liverpool",9,6,-3,18,8,6,4,28,34,25,9,22.1,0.3,0
"Chelsea",10,8,-2,18,7,7,4,25,21,21,0,4.2,0,0.1
"Aston Villa",11,12,1,19,7,8,4,25,22,27,-5,0.4,0,1.2
"Crystal Palace",12,11,-1,17,6,7,4,22,17,25,-8,0.5,0,3.7
"Nott'ham Forest",13,18,5,19,5,9,5,20,15,34,-19,0,0,26.6
"Leeds United",14,14,0,18,4,9,5,17,26,33,-7,0,0,18.3
"Leicester City",15,13,-2,19,5,12,2,17,26,33,-7,0,0,20.5
"Wolves",16,19,3,19,4,10,5,17,12,27,-15,0,0,33.1
"Bournemouth",17,15,-2,19,4,11,4,16,18,41,-23,0,0,57.1
"West Ham",18,17,-1,19,4,12,3,15,15,25,-10,0,0,30.6
"Everton",19,16,-3,19,3,10,6,15,15,26,-11,0,0,57.4
"Southampton",20,20,0,19,4,12,3,15,17,34,-17,0,0,51.3
