"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,38,28,5,5,89,94,33,61,100,100,0
"Arsenal",2,2,0,38,26,6,6,84,88,43,45,100,0,0
"Manchester Utd",3,3,0,38,23,9,6,75,58,43,15,100,0,0
"Newcastle Utd",4,4,0,38,19,5,14,71,68,33,35,100,0,0
"Liverpool",5,5,0,38,19,9,10,67,75,47,28,0,0,0
"Brighton",6,6,0,38,18,12,8,62,72,53,19,0,0,0
"Aston Villa",7,7,0,38,18,13,7,61,51,46,5,0,0,0
"Tottenham",8,8,0,38,18,14,6,60,70,63,7,0,0,0
"Brentford",9,9,0,38,15,9,14,59,58,46,12,0,0,0
"Fulham",10,10,0,38,15,16,7,52,55,53,2,0,0,0
"Crystal Palace",11,11,0,38,11,15,12,45,40,49,-9,0,0,0
"Chelsea",12,12,0,38,11,16,11,44,38,47,-9,0,0,0
"Wolves",13,13,0,38,11,19,8,41,31,58,-27,0,0,0
"West Ham",14,14,0,38,11,20,7,40,42,55,-13,0,0,0
"Bournemouth",15,15,0,38,11,21,6,39,37,71,-34,0,0,0
"Nott'ham Forest",16,16,0,38,9,18,11,38,38,68,-30,0,0,0
"Everton",17,17,0,38,8,18,12,36,34,57,-23,0,0,0
"Leicester City",18,18,0,38,9,22,7,34,51,68,-17,0,0,100
"Leeds United",19,19,0,38,7,21,10,31,48,78,-30,0,0,100
"Southampton",20,20,0,38,6,25,7,25,36,73,-37,0,0,100
