"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,31,23,3,5,74,74,31,43,100,48,0
"Manchester City",2,2,0,30,22,4,4,70,78,28,50,100,52,0
"Manchester Utd",3,4,1,30,18,7,5,59,46,37,9,90.8,0,0
"Newcastle Utd",4,3,-1,30,15,4,11,56,48,24,24,72,0,0
"Tottenham",5,5,0,31,16,10,5,53,57,45,12,10.2,0,0
"Aston Villa",6,6,0,31,15,11,5,50,44,40,4,2,0,0
"Brighton",7,7,0,29,14,8,7,49,54,37,17,20.8,0,0
"Liverpool",8,8,0,29,12,9,8,44,50,35,15,4.2,0,0
"Brentford",9,9,0,31,10,8,13,43,47,42,5,0,0,0
"Fulham",10,10,0,30,12,12,6,42,42,41,1,0,0,0
"Chelsea",11,11,0,31,10,12,9,39,30,33,-3,0,0,0
"Crystal Palace",12,12,0,31,9,13,9,36,31,40,-9,0,0,0
"Wolves",13,13,0,31,9,15,7,34,26,42,-16,0,0,1.6
"Bournemouth",14,15,1,31,9,16,6,33,31,59,-28,0,0,4.5
"West Ham",15,14,-1,30,8,15,7,31,29,41,-12,0,0,4.8
"Leeds United",16,16,0,30,7,15,8,29,39,54,-15,0,0,16.3
"Everton",17,17,0,31,6,16,9,27,24,46,-22,0,0,55
"Nott'ham Forest",18,18,0,31,6,16,9,27,24,56,-32,0,0,74.3
"Leicester City",19,19,0,31,7,20,4,25,41,55,-14,0,0,54.2
"Southampton",20,20,0,31,6,20,5,23,24,53,-29,0,0,89.3
