"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,2,1,23,17,3,3,54,51,23,28,99.3,50.8,0
"Manchester City",2,1,-1,24,16,4,4,52,60,24,36,99.3,45.1,0
"Manchester Utd",3,3,0,23,14,5,4,46,38,28,10,81.3,3.6,0
"Newcastle Utd",4,4,0,23,10,2,11,41,35,15,20,41.6,0.2,0
"Tottenham",5,5,0,23,12,8,3,39,42,35,7,26.1,0.2,0
"Fulham",6,7,1,24,11,8,5,38,35,30,5,3,0,0
"Brighton",7,6,-1,22,10,7,5,35,39,29,10,18.5,0.1,0
"Liverpool",8,9,1,22,10,7,5,35,38,28,10,25.6,0,0
"Brentford",9,8,-1,23,8,4,11,35,37,30,7,3.7,0,0
"Chelsea",10,10,0,23,8,8,7,31,23,23,0,1.4,0,0
"Aston Villa",11,11,0,23,8,11,4,28,28,38,-10,0.1,0,2.2
"Crystal Palace",12,12,0,23,6,9,8,26,21,31,-10,0.1,0,9.3
"Nott'ham Forest",13,14,1,23,6,10,7,25,18,38,-20,0,0,23.4
"Leicester City",14,13,-1,22,7,12,3,24,36,38,-2,0,0,6.5
"Wolves",15,15,0,23,6,12,5,23,17,32,-15,0,0,28.5
"Everton",16,18,2,23,5,12,6,21,17,30,-13,0,0,44.2
"Bournemouth",17,19,2,23,5,12,6,21,21,44,-23,0,0,55.1
"West Ham",18,16,-2,22,5,12,5,20,19,27,-8,0,0,22
"Leeds United",19,17,-2,23,4,12,7,19,28,39,-11,0,0,41.4
"Southampton",20,20,0,23,5,15,3,18,19,40,-21,0,0,67.4
