"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,32,23,3,6,75,77,34,43,100,42.5,0
"Manchester City",2,2,0,30,22,4,4,70,78,28,50,100,57.5,0
"Newcastle Utd",3,3,0,31,16,4,11,59,54,25,29,87.7,0,0
"Manchester Utd",4,4,0,30,18,7,5,59,46,37,9,86.6,0,0
"Aston Villa",5,6,1,33,16,11,6,54,46,41,5,2,0,0
"Tottenham",6,5,-1,32,16,11,5,53,58,51,7,3.5,0,0
"Liverpool",7,7,0,31,14,9,8,50,59,38,21,6.2,0,0
"Brighton",8,8,0,29,14,8,7,49,54,37,17,14,0,0
"Fulham",9,9,0,32,13,13,6,45,44,43,1,0,0,0
"Brentford",10,10,0,32,10,8,14,44,48,43,5,0,0,0
"Chelsea",11,11,0,31,10,12,9,39,30,33,-3,0,0,0
"Crystal Palace",12,12,0,33,9,14,10,37,31,42,-11,0,0,0
"Wolves",13,14,1,33,10,16,7,37,29,44,-15,0,0,0.4
"West Ham",14,13,-1,31,9,15,7,34,33,41,-8,0,0,1.5
"Bournemouth",15,15,0,32,9,17,6,33,31,63,-32,0,0,6.4
"Leeds United",16,16,0,33,7,17,9,30,42,63,-21,0,0,40.6
"Leicester City",17,17,0,33,8,20,5,29,44,57,-13,0,0,34.6
"Everton",18,18,0,32,6,16,10,28,24,46,-22,0,0,50.6
"Nott'ham Forest",19,19,0,32,6,17,9,27,26,59,-33,0,0,75.9
"Southampton",20,20,0,32,6,20,6,24,27,56,-29,0,0,90
