"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,30,23,3,4,73,72,29,43,100,56.7,0
"Manchester City",2,2,0,29,21,4,4,67,75,27,48,100,43.3,0
"Newcastle Utd",3,3,0,29,15,3,11,56,48,21,27,85.9,0,0
"Manchester Utd",4,4,0,29,17,7,5,56,44,37,7,80.7,0,0
"Tottenham",5,5,0,30,16,9,5,53,55,42,13,20.7,0,0
"Aston Villa",6,7,1,30,14,11,5,47,41,40,1,1.6,0,0
"Brighton",7,6,-1,28,13,8,7,46,52,36,16,8.1,0,0
"Liverpool",8,8,0,29,12,9,8,44,50,35,15,3,0,0
"Brentford",9,9,0,30,10,7,13,43,47,40,7,0,0,0
"Fulham",10,10,0,29,11,12,6,39,39,40,-1,0,0,0
"Chelsea",11,11,0,30,10,11,9,39,29,31,-2,0,0,0
"Crystal Palace",12,12,0,30,8,13,9,33,29,40,-11,0,0,0.9
"Wolves",13,14,1,30,8,15,7,31,24,42,-18,0,0,12.2
"West Ham",14,15,1,29,8,15,6,30,27,39,-12,0,0,6.8
"Bournemouth",15,18,3,30,8,16,6,30,28,57,-29,0,0,16.3
"Leeds United",16,13,-3,30,7,15,8,29,39,54,-15,0,0,21
"Everton",17,16,-1,30,6,15,9,27,23,43,-20,0,0,39.7
"Nott'ham Forest",18,17,-1,30,6,15,9,27,24,54,-30,0,0,64.5
"Leicester City",19,19,0,30,7,19,4,25,40,52,-12,0,0,55.2
"Southampton",20,20,0,30,6,19,5,23,24,51,-27,0,0,83.4
