"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,16,14,1,1,43,40,14,26,98.1,61.9,0
"Manchester City",2,2,0,16,11,2,3,36,44,16,28,95.4,29,0
"Newcastle Utd",3,3,0,17,9,1,7,34,32,11,21,56.7,2.6,0
"Manchester Utd",4,5,1,16,10,4,2,32,24,20,4,56.1,3.6,0
"Tottenham",5,4,-1,17,9,5,3,30,33,25,8,18.6,0.3,0
"Liverpool",6,6,0,16,8,4,4,28,33,19,14,52.7,2.6,0
"Fulham",7,9,2,17,7,6,4,25,29,27,2,1.4,0,1
"Chelsea",8,8,0,16,7,5,4,25,20,18,2,8.8,0,0.1
"Brighton",9,7,-2,16,7,6,3,24,28,24,4,9.9,0,0
"Brentford",10,10,0,17,5,4,8,23,27,27,0,1.1,0,1.2
"Crystal Palace",11,11,0,16,6,6,4,22,17,21,-4,0.6,0,2.8
"Aston Villa",12,12,0,17,6,8,3,21,19,25,-6,0.3,0,2
"Leicester City",13,13,0,17,5,10,2,17,26,30,-4,0.2,0,9.6
"Leeds United",14,15,1,16,4,8,4,16,23,29,-6,0.1,0,17
"Bournemouth",15,14,-1,17,4,9,4,16,18,36,-18,0,0,45.1
"Everton",16,17,1,17,3,8,6,15,13,20,-7,0,0,38.1
"West Ham",17,16,-1,17,4,11,2,14,13,22,-9,0,0,24.6
"Nott'ham Forest",18,18,0,17,3,9,5,14,12,34,-22,0,0,58
"Wolves",19,20,1,17,3,10,4,13,10,26,-16,0,0,51.8
"Southampton",20,19,-1,17,3,11,3,12,15,32,-17,0,0,48.7
