"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,20,16,2,2,50,45,17,28,99.4,69,0
"Manchester City",2,2,0,21,14,4,3,45,53,21,32,96.5,27.2,0
"Manchester Utd",3,3,0,22,13,5,4,43,36,28,8,66.9,1.6,0
"Newcastle Utd",4,4,0,21,10,1,10,40,34,12,22,56.2,1.5,0
"Tottenham",5,5,0,22,12,7,3,39,41,31,10,37.9,0.4,0
"Brighton",6,6,0,20,10,6,4,34,38,27,11,25.3,0.3,0
"Brentford",7,8,1,21,8,4,9,33,35,28,7,4,0,0.1
"Fulham",8,7,-1,22,9,8,5,32,32,30,2,1.4,0,0.1
"Chelsea",9,10,1,21,8,7,6,30,22,21,1,2,0,0.1
"Liverpool",10,9,-1,20,8,7,5,29,34,28,6,9.5,0,0
"Aston Villa",11,11,0,21,8,9,4,28,25,31,-6,0.9,0,0.7
"Crystal Palace",12,12,0,21,6,9,6,24,19,29,-10,0,0,7.5
"Nott'ham Forest",13,13,0,21,6,9,6,24,17,35,-18,0,0,18.4
"Leicester City",14,15,1,21,6,12,3,21,32,37,-5,0,0,12.9
"Wolves",15,17,2,21,5,11,5,20,15,30,-15,0,0,27.9
"Leeds United",16,14,-2,21,4,10,7,19,28,36,-8,0,0,23.7
"West Ham",17,16,-1,21,5,12,4,19,18,26,-8,0,0,18.1
"Everton",18,19,1,21,4,11,6,18,16,28,-12,0,0,50.3
"Bournemouth",19,18,-1,21,4,12,5,17,19,43,-24,0,0,69.2
"Southampton",20,20,0,21,4,14,3,15,17,38,-21,0,0,71
