"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,16,14,1,1,43,40,14,26,98.5,62.6,0
"Manchester City",2,2,0,16,11,2,3,36,44,16,28,95.9,30.4,0
"Newcastle Utd",3,3,0,17,9,1,7,34,32,11,21,58,2.5,0
"Manchester Utd",4,5,1,16,10,4,2,32,24,20,4,59,3.3,0
"Tottenham",5,4,-1,17,9,5,3,30,33,25,8,23.5,0.3,0
"Liverpool",6,6,0,17,8,5,4,28,34,22,12,38.8,0.7,0
"Brentford",7,10,3,18,6,4,8,26,30,28,2,2.9,0,0.2
"Fulham",8,9,1,17,7,6,4,25,29,27,2,1.5,0,0.8
"Chelsea",9,8,-1,16,7,5,4,25,20,18,2,10.8,0,0
"Brighton",10,7,-3,16,7,6,3,24,28,24,4,9.8,0.2,0.1
"Crystal Palace",11,11,0,16,6,6,4,22,17,21,-4,0.4,0,2.3
"Aston Villa",12,12,0,17,6,8,3,21,19,25,-6,0.7,0,2.1
"Leicester City",13,13,0,17,5,10,2,17,26,30,-4,0,0,12.4
"Leeds United",14,15,1,16,4,8,4,16,23,29,-6,0,0,16.7
"Bournemouth",15,14,-1,17,4,9,4,16,18,36,-18,0,0,46
"Everton",16,17,1,17,3,8,6,15,13,20,-7,0,0,36.1
"West Ham",17,16,-1,17,4,11,2,14,13,22,-9,0.2,0,19.9
"Nott'ham Forest",18,19,1,17,3,9,5,14,12,34,-22,0,0,56
"Wolves",19,18,-1,17,3,10,4,13,10,26,-16,0,0,53.5
"Southampton",20,20,0,17,3,11,3,12,15,32,-17,0,0,53.9
