"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,4,3,2,2,0,0,6,6,0,6,92.2,55.3,0
"Arsenal",2,2,0,2,2,0,0,6,6,2,4,43.3,5.3,0.7
"Brentford",3,9,6,2,1,0,1,4,6,2,4,10.2,0.4,8.5
"Tottenham",4,1,-3,2,1,0,1,4,6,3,3,48.6,7,0.1
"Newcastle Utd",5,5,0,2,1,0,1,4,2,0,2,7.9,0.2,6.4
"Leeds United",6,7,1,2,1,0,1,4,4,3,1,2.2,0,22.2
"Chelsea",7,8,1,2,1,0,1,4,3,2,1,64.5,11.7,0.1
"Brighton",8,6,-2,2,1,0,1,4,2,1,1,12.2,0.6,5.6
"Aston Villa",9,16,7,2,1,1,0,3,2,3,-1,12.4,0.7,5.9
"Nott'ham Forest",10,18,8,2,1,1,0,3,1,2,-1,0.6,0,45.3
"Bournemouth",11,3,-8,2,1,1,0,3,2,4,-2,1.4,0,37
"Fulham",12,10,-2,2,0,0,2,2,2,2,0,1.4,0,28.7
"Liverpool",13,12,-1,1,0,0,1,1,2,2,0,74.9,18.5,0
"Wolves",14,14,0,2,0,1,1,1,1,2,-1,2.4,0,24.2
"Leicester City",15,11,-4,2,0,1,1,1,4,6,-2,5.6,0.1,10.6
"Southampton",16,20,4,2,0,1,1,1,3,6,-3,1.3,0,30.4
"Everton",17,15,-2,2,0,2,0,0,1,3,-2,1,0,36.1
"Crystal Palace",18,17,-1,1,0,1,0,0,0,2,-2,5.3,0.1,13.5
"West Ham",19,19,0,2,0,2,0,0,0,3,-3,4.8,0,16
"Manchester Utd",20,13,-7,2,0,2,0,0,1,6,-5,7.8,0.1,8.7
