"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",13,NA,0,0,0,0,0,0,0,0,0,88.2,42.7,0
"Liverpool",12,NA,0,0,0,0,0,0,0,0,0,81.8,31,0
"Chelsea",6,NA,0,0,0,0,0,0,0,0,0,57.2,11.2,0.4
"Tottenham",18,NA,0,0,0,0,0,0,0,0,0,43.2,5.3,1.4
"Arsenal",1,NA,0,0,0,0,0,0,0,0,0,30.6,3.4,1.9
"Manchester Utd",14,NA,0,0,0,0,0,0,0,0,0,19.7,1.9,3.8
"Leicester City",11,NA,0,0,0,0,0,0,0,0,0,12,1.2,8.8
"Aston Villa",2,NA,0,0,0,0,0,0,0,0,0,11.8,0.7,6
"Brighton",5,NA,0,0,0,0,0,0,0,0,0,10.8,0.9,8.8
"West Ham",19,NA,0,0,0,0,0,0,0,0,0,9.5,0.4,11.1
"Brentford",4,NA,0,0,0,0,0,0,0,0,0,8,0.3,14.4
"Crystal Palace",7,NA,0,0,0,0,0,0,0,0,0,6.8,0.5,10.4
"Wolves",20,NA,0,0,0,0,0,0,0,0,0,5.8,0.2,12.7
"Newcastle Utd",15,NA,0,0,0,0,0,0,0,0,0,5,0.2,13.4
"Everton",8,NA,0,0,0,0,0,0,0,0,0,2.8,0,21.5
"Leeds United",10,NA,0,0,0,0,0,0,0,0,0,2.6,0.1,26.6
"Southampton",17,NA,0,0,0,0,0,0,0,0,0,2.2,0,30.2
"Fulham",9,NA,0,0,0,0,0,0,0,0,0,0.9,0,36.2
"Bournemouth",3,NA,0,0,0,0,0,0,0,0,0,0.8,0,48.4
"Nott'ham Forest",16,NA,0,0,0,0,0,0,0,0,0,0.3,0,44
