"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,13,11,1,1,34,31,11,20,94.2,26.2,0
"Manchester City",2,2,0,13,10,1,2,32,39,12,27,98.4,66.6,0
"Newcastle Utd",3,4,1,14,7,1,6,27,28,11,17,46.8,1.5,0
"Tottenham",4,3,-1,14,8,4,2,26,27,18,9,38.7,1.3,0
"Manchester Utd",5,6,1,13,7,4,2,23,18,19,-1,34.6,1,0
"Brighton",6,9,3,13,6,4,3,21,22,17,5,22.8,0.8,0.1
"Chelsea",7,5,-2,13,6,4,3,21,17,16,1,23.3,0.9,0
"Liverpool",8,8,0,13,5,4,4,19,25,16,9,34.8,1.7,0
"Fulham",9,7,-2,14,5,5,4,19,23,24,-1,0.6,0,6.9
"Crystal Palace",10,13,3,13,5,4,4,19,15,17,-2,3.3,0,2
"Brentford",11,11,0,14,3,4,7,16,21,24,-3,0.6,0,10.6
"Leeds United",12,18,6,13,4,6,3,15,19,22,-3,0.4,0,11.1
"Aston Villa",13,15,2,14,4,7,3,15,14,21,-7,0.2,0,11.5
"Leicester City",14,17,3,14,4,8,2,14,23,25,-2,0.2,0,12.2
"West Ham",15,10,-5,14,4,8,2,14,12,15,-3,1,0,7.3
"Everton",16,12,-4,14,3,6,5,14,11,14,-3,0.1,0,26.3
"Bournemouth",17,14,-3,14,3,7,4,13,15,32,-17,0,0,55.7
"Southampton",18,16,-2,14,3,8,3,12,12,24,-12,0,0,34.3
"Wolves",19,19,0,14,2,8,4,10,8,22,-14,0,0,49.7
"Nott'ham Forest",20,20,0,14,2,8,4,10,10,30,-20,0,0,72.3
