"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,25,19,3,3,60,56,23,33,100,63.5,0
"Manchester City",2,2,0,25,17,4,4,55,64,25,39,99.7,33.4,0
"Manchester Utd",3,3,0,24,15,5,4,49,41,28,13,87.3,2.9,0
"Tottenham",4,4,0,25,14,8,3,45,46,35,11,40.7,0.2,0
"Newcastle Utd",5,5,0,23,10,2,11,41,35,15,20,31.7,0,0
"Liverpool",6,6,0,24,11,7,6,39,40,28,12,20.3,0,0
"Fulham",7,7,0,25,11,8,6,39,36,31,5,1.7,0,0
"Brighton",8,8,0,22,10,7,5,35,39,29,10,15.1,0,0
"Brentford",9,9,0,23,8,4,11,35,37,30,7,3.2,0,0
"Chelsea",10,10,0,24,8,9,7,31,23,25,-2,0.2,0,0
"Aston Villa",11,11,0,24,9,11,4,31,30,38,-8,0.1,0,0.5
"Crystal Palace",12,12,0,24,6,9,9,27,21,31,-10,0,0,6
"Nott'ham Forest",13,13,0,24,6,11,7,25,18,42,-24,0,0,25.6
"Leicester City",14,14,0,24,7,14,3,24,36,42,-6,0,0,13.3
"Wolves",15,15,0,25,6,13,6,24,18,35,-17,0,0,25.1
"West Ham",16,18,2,24,6,13,5,23,23,29,-6,0,0,11.8
"Leeds United",17,19,2,24,5,12,7,22,29,39,-10,0,0,28.1
"Everton",18,16,-2,25,5,14,6,21,17,36,-19,0,0,58.6
"Bournemouth",19,17,-2,24,5,13,6,21,22,48,-26,0,0,56.5
"Southampton",20,20,0,24,5,16,3,18,19,41,-22,0,0,74.5
