"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,34,26,4,4,82,89,31,58,100,80.7,0
"Arsenal",2,2,0,35,25,4,6,81,83,39,44,100,19.3,0
"Newcastle Utd",3,3,0,34,18,5,11,65,61,29,32,90.5,0,0
"Manchester Utd",4,4,0,34,19,9,6,63,49,41,8,70.7,0,0
"Liverpool",5,5,0,35,18,9,8,62,67,42,25,28.9,0,0
"Tottenham",6,7,1,35,17,12,6,57,64,57,7,0,0,0
"Brighton",7,6,-1,32,16,9,7,55,62,40,22,9.9,0,0
"Aston Villa",8,8,0,35,16,13,6,54,46,43,3,0,0,0
"Brentford",9,9,0,35,12,9,14,50,52,45,7,0,0,0
"Fulham",10,10,0,34,13,15,6,45,45,46,-1,0,0,0
"Chelsea",11,12,1,34,11,14,9,42,34,39,-5,0,0,0
"Crystal Palace",12,11,-1,35,10,15,10,40,35,46,-11,0,0,0
"Wolves",13,14,1,35,11,17,7,40,30,50,-20,0,0,0
"Bournemouth",14,13,-1,35,11,18,6,39,37,67,-30,0,0,0
"West Ham",15,15,0,35,10,18,7,37,38,50,-12,0,0,0.1
"Leicester City",16,16,0,34,8,20,6,30,46,59,-13,0,0,30.8
"Leeds United",17,17,0,35,7,19,9,30,44,69,-25,0,0,58.4
"Nott'ham Forest",18,18,0,34,7,18,9,30,30,62,-32,0,0,52.4
"Everton",19,19,0,34,6,17,11,29,27,52,-25,0,0,61.5
"Southampton",20,20,0,34,6,22,6,24,28,60,-32,0,0,96.8
