"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,11,9,1,1,28,25,11,14,84.1,20.8,0
"Manchester City",2,2,0,11,8,1,2,26,36,11,25,98.4,68.7,0
"Tottenham",3,3,0,12,7,3,2,23,23,14,9,45.7,2.5,0
"Newcastle Utd",4,6,2,12,5,1,6,21,20,10,10,22.8,0.3,0.4
"Chelsea",5,4,-1,11,6,2,3,21,16,11,5,45.7,3.5,0
"Manchester Utd",6,5,-1,11,6,3,2,20,16,16,0,36.3,1.2,0.1
"Fulham",7,11,4,12,5,4,3,18,22,22,0,1.9,0,7.7
"Liverpool",8,8,0,11,4,3,4,16,22,13,9,49.7,2.7,0
"Brighton",9,7,-2,11,4,4,3,15,15,14,1,8.9,0.3,1.1
"Brentford",10,9,-1,12,3,4,5,14,18,21,-3,0.7,0,10.7
"Everton",11,14,3,12,3,5,4,13,11,12,-1,0.2,0,18.1
"Crystal Palace",12,13,1,11,3,4,4,13,12,16,-4,1.2,0,9.5
"Bournemouth",13,10,-3,11,3,4,4,13,10,23,-13,0,0,34.7
"Aston Villa",14,16,2,12,3,6,3,12,11,16,-5,1.1,0,12.8
"Southampton",15,18,3,12,3,6,3,12,11,19,-8,0.1,0,27.9
"Leicester City",16,19,3,12,3,7,2,11,21,24,-3,0.6,0,22.4
"West Ham",17,12,-5,11,3,6,2,11,9,12,-3,2.6,0,7.1
"Leeds United",18,15,-3,11,2,6,3,9,13,18,-5,0,0,35.4
"Wolves",19,17,-2,12,2,7,3,9,5,18,-13,0,0,47.5
"Nott'ham Forest",20,20,0,12,2,7,3,9,8,23,-15,0,0,64.6
