"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,26,20,3,3,63,59,25,34,100,64.1,0
"Manchester City",2,2,0,26,18,4,4,58,66,25,41,99.9,35.4,0
"Manchester Utd",3,3,0,25,15,6,4,49,41,35,6,81.5,0.5,0
"Tottenham",4,4,0,26,14,9,3,45,46,36,10,27.7,0,0
"Liverpool",5,6,1,25,12,7,6,42,47,28,19,39.4,0,0
"Newcastle Utd",6,5,-1,24,10,3,11,41,35,17,18,25.2,0,0
"Fulham",7,7,0,26,11,9,6,39,38,34,4,0.8,0,0
"Brighton",8,8,0,23,11,7,5,38,43,29,14,19.9,0,0
"Brentford",9,9,0,24,9,4,11,38,40,32,8,4.8,0,0
"Chelsea",10,10,0,25,9,9,7,34,24,25,-1,0.7,0,0
"Aston Villa",11,11,0,25,10,11,4,34,31,38,-7,0.1,0,0
"Crystal Palace",12,12,0,25,6,10,9,27,21,32,-11,0,0,6.4
"Wolves",13,15,2,26,7,13,6,27,19,35,-16,0,0,16
"Nott'ham Forest",14,13,-1,25,6,11,8,26,20,44,-24,0,0,29.8
"Leicester City",15,14,-1,25,7,15,3,24,36,43,-7,0,0,14.7
"West Ham",16,16,0,25,6,14,5,23,23,33,-10,0,0,20.9
"Leeds United",17,17,0,25,5,13,7,22,29,40,-11,0,0,33
"Everton",18,18,0,26,5,14,7,22,19,38,-19,0,0,56.3
"Southampton",19,20,1,25,6,16,3,21,20,41,-21,0,0,60.6
"Bournemouth",20,19,-1,25,5,14,6,21,24,51,-27,0,0,62.3
