"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,4,4,0,0,12,11,3,8,61.1,12.1,0
"Manchester City",2,2,0,4,3,0,1,10,13,5,8,91.3,56.6,0
"Brighton",3,5,2,4,3,0,1,10,5,1,4,26.3,2.4,1.2
"Tottenham",4,4,0,3,2,0,1,7,7,3,4,49.4,6.9,0.4
"Leeds United",5,3,-2,4,2,1,1,7,7,4,3,3.1,0.2,11.2
"Chelsea",6,12,6,4,2,1,1,7,5,6,-1,43.1,4.7,0.2
"Manchester Utd",7,14,7,4,2,2,0,6,4,7,-3,15.3,0.3,4.1
"Liverpool",8,16,8,4,1,1,2,5,13,5,8,71.5,15.4,0
"Brentford",9,8,-1,4,1,1,2,5,9,6,3,5.3,0.2,10.8
"Newcastle Utd",10,6,-4,3,1,0,2,5,5,3,2,8.8,0.3,7.8
"Fulham",11,7,-4,4,1,1,2,5,6,6,0,1.3,0,22.4
"Nott'ham Forest",12,10,-2,3,1,1,1,4,2,3,-1,0.2,0,45.7
"Crystal Palace",13,9,-4,4,1,2,1,4,6,8,-2,8.3,0.5,5.5
"Southampton",14,11,-3,4,1,2,1,4,5,8,-3,0.8,0,27.8
"Aston Villa",15,13,-2,3,1,2,0,3,3,6,-3,7.6,0.3,7.9
"Bournemouth",16,15,-1,4,1,3,0,3,2,16,-14,0.2,0,50.5
"Everton",17,17,0,4,0,2,2,2,3,5,-2,0.6,0,38.1
"Wolves",18,18,0,3,0,2,1,1,1,3,-2,1.5,0.1,24.6
"Leicester City",19,19,0,4,0,3,1,1,6,10,-4,2.5,0,17.2
"West Ham",20,20,0,3,0,3,0,0,0,5,-5,1.8,0,24.6
