"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,32,23,3,6,75,77,34,43,100,41.4,0
"Manchester City",2,2,0,30,22,4,4,70,78,28,50,100,58.6,0
"Newcastle Utd",3,4,1,31,16,4,11,59,54,25,29,89.4,0,0
"Manchester Utd",4,3,-1,30,18,7,5,59,46,37,9,87.5,0,0
"Tottenham",5,5,0,32,16,11,5,53,58,51,7,4,0,0
"Aston Villa",6,6,0,32,15,11,6,51,45,41,4,1.4,0,0
"Liverpool",7,8,1,31,14,9,8,50,59,38,21,5.3,0,0
"Brighton",8,7,-1,29,14,8,7,49,54,37,17,12.4,0,0
"Fulham",9,10,1,31,13,12,6,45,44,42,2,0,0,0
"Brentford",10,9,-1,32,10,8,14,44,48,43,5,0,0,0
"Chelsea",11,11,0,31,10,12,9,39,30,33,-3,0,0,0
"Crystal Palace",12,12,0,32,9,13,10,37,31,40,-9,0,0,0
"West Ham",13,15,2,31,9,15,7,34,33,41,-8,0,0,0.5
"Wolves",14,13,-1,32,9,16,7,34,27,44,-17,0,0,2.8
"Bournemouth",15,14,-1,32,9,17,6,33,31,63,-32,0,0,6.5
"Leeds United",16,16,0,32,7,17,8,29,41,62,-21,0,0,34.1
"Leicester City",17,19,2,32,8,20,4,28,43,56,-13,0,0,36.2
"Everton",18,17,-1,32,6,16,10,28,24,46,-22,0,0,52.9
"Nott'ham Forest",19,18,-1,32,6,17,9,27,26,59,-33,0,0,77
"Southampton",20,20,0,32,6,20,6,24,27,56,-29,0,0,90
