"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,5,5,0,0,15,13,4,9,70,13.7,0.2
"Manchester City",2,2,0,5,4,0,1,13,19,5,14,93.1,54.9,0
"Tottenham",3,3,0,5,3,0,2,11,10,4,6,51.5,6.9,0.3
"Brighton",4,4,0,5,3,1,1,10,6,3,3,19.3,1.4,1.8
"Manchester Utd",5,8,3,5,3,2,0,9,5,7,-2,19.7,1,1.2
"Liverpool",6,9,3,5,2,1,2,8,15,6,9,78.4,18.7,0
"Leeds United",7,5,-2,5,2,1,2,8,8,5,3,3.6,0.2,12.4
"Fulham",8,11,3,5,2,1,2,8,8,7,1,2,0.2,16.5
"Southampton",9,13,4,5,2,2,1,7,7,9,-2,2.6,0.1,14.4
"Chelsea",10,6,-4,5,2,2,1,7,6,8,-2,31.9,2.2,0.8
"Brentford",11,10,-1,5,1,1,3,6,10,7,3,4.6,0.2,9.8
"Newcastle Utd",12,7,-5,5,1,1,3,6,7,6,1,7.5,0.1,7.1
"Crystal Palace",13,12,-1,5,1,2,2,5,7,9,-2,8,0.3,5.5
"West Ham",14,16,2,5,1,3,1,4,2,6,-4,2.2,0.1,19
"Nott'ham Forest",15,14,-1,5,1,3,1,4,2,11,-9,0.2,0,51.6
"Bournemouth",16,17,1,5,1,3,1,4,2,16,-14,0.4,0,51
"Everton",17,18,1,5,0,2,3,3,4,6,-2,0.7,0,38.2
"Wolves",18,19,1,5,0,2,3,3,2,4,-2,0.6,0,26.1
"Aston Villa",19,15,-4,5,1,4,0,3,4,9,-5,3.1,0,17.6
"Leicester City",20,20,0,5,0,4,1,1,6,11,-5,0.6,0,26.5
