"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,36,28,4,4,88,93,31,62,100,100,0
"Arsenal",2,2,0,37,25,6,6,81,83,43,40,100,0,0
"Newcastle Utd",3,3,0,36,19,5,12,69,67,32,35,99.1,0,0
"Manchester Utd",4,4,0,36,21,9,6,69,52,41,11,93.6,0,0
"Liverpool",5,5,0,37,19,9,9,66,71,43,28,7.3,0,0
"Brighton",6,6,0,36,18,11,7,61,70,50,20,0,0,0
"Aston Villa",7,8,1,37,17,13,7,58,49,45,4,0,0,0
"Tottenham",8,7,-1,37,17,14,6,57,66,62,4,0,0,0
"Brentford",9,9,0,37,14,9,14,56,57,46,11,0,0,0
"Fulham",10,10,0,37,15,15,7,52,54,51,3,0,0,0
"Crystal Palace",11,12,1,37,11,15,11,44,39,48,-9,0,0,0
"Chelsea",12,11,-1,36,11,15,10,43,36,42,-6,0,0,0
"Wolves",13,13,0,37,11,18,8,41,31,53,-22,0,0,0
"West Ham",14,15,1,37,11,19,7,40,41,53,-12,0,0,0
"Bournemouth",15,14,-1,37,11,20,6,39,37,70,-33,0,0,0
"Nott'ham Forest",16,16,0,37,9,18,10,37,37,67,-30,0,0,0
"Everton",17,17,0,37,7,18,12,33,33,57,-24,0,0,32.9
"Leeds United",18,18,0,37,7,20,10,31,47,74,-27,0,0,89.9
"Leicester City",19,19,0,36,8,22,6,30,49,67,-18,0,0,77.2
"Southampton",20,20,0,37,6,25,6,24,32,69,-37,0,0,100
