"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,33,25,4,4,79,87,30,57,100,86.3,0
"Arsenal",2,2,0,34,24,4,6,78,81,39,42,100,13.7,0
"Newcastle Utd",3,3,0,33,18,4,11,65,61,27,34,94.8,0,0
"Manchester Utd",4,4,0,32,19,7,6,63,49,39,10,92.2,0,0
"Liverpool",5,5,0,34,17,9,8,59,66,42,24,8.6,0,0
"Tottenham",6,6,0,34,16,12,6,54,63,57,6,0,0,0
"Aston Villa",7,7,0,34,16,12,6,54,46,42,4,0,0,0
"Brighton",8,8,0,31,15,9,7,52,61,40,21,4.4,0,0
"Brentford",9,9,0,34,12,8,14,50,52,44,8,0,0,0
"Fulham",10,10,0,34,13,15,6,45,45,46,-1,0,0,0
"Crystal Palace",11,12,1,34,10,14,10,40,35,45,-10,0,0,0
"Chelsea",12,11,-1,33,10,14,9,39,31,38,-7,0,0,0
"Bournemouth",13,14,1,34,11,17,6,39,36,64,-28,0,0,0
"Wolves",14,13,-1,34,10,17,7,37,29,50,-21,0,0,0.1
"West Ham",15,15,0,34,9,18,7,34,37,50,-13,0,0,1.4
"Leicester City",16,18,2,34,8,20,6,30,46,59,-13,0,0,31.6
"Leeds United",17,16,-1,34,7,18,9,30,43,67,-24,0,0,48.1
"Nott'ham Forest",18,17,-1,34,7,18,9,30,30,62,-32,0,0,55.9
"Everton",19,19,0,34,6,17,11,29,27,52,-25,0,0,64.8
"Southampton",20,20,0,34,6,22,6,24,28,60,-32,0,0,98.1
