"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,15,13,1,1,40,36,12,24,95.7,49.2,0
"Newcastle Utd",2,3,1,16,9,1,6,33,32,11,21,60,6,0
"Manchester City",3,2,-1,14,10,2,2,32,40,14,26,93.9,37.4,0
"Tottenham",4,4,0,16,9,4,3,30,33,23,10,33.4,1.2,0
"Manchester Utd",5,5,0,15,9,4,2,29,23,20,3,42.3,3.1,0
"Liverpool",6,8,2,15,7,4,4,25,31,18,13,49.2,2.6,0
"Brighton",7,6,-1,15,7,5,3,24,26,20,6,11.7,0.3,0.1
"Chelsea",8,7,-1,15,7,5,3,24,19,17,2,11.1,0.2,0
"Fulham",9,9,0,16,6,6,4,22,27,26,1,1,0,2.3
"Brentford",10,11,1,16,4,4,8,20,25,27,-2,0.5,0,4.1
"Crystal Palace",11,10,-1,15,5,6,4,19,15,21,-6,0.6,0,7
"Aston Villa",12,13,1,16,5,8,3,18,17,25,-8,0.2,0,4.3
"Leicester City",13,14,1,16,5,9,2,17,25,28,-3,0.2,0,11
"Bournemouth",14,17,3,16,4,8,4,16,18,34,-16,0,0,37.4
"Leeds United",15,12,-3,14,4,7,3,15,22,26,-4,0.1,0,15.2
"West Ham",16,15,-1,16,4,10,2,14,13,20,-7,0.1,0,18.6
"Everton",17,16,-1,16,3,8,5,14,12,19,-7,0,0,46.1
"Wolves",18,19,1,16,3,9,4,13,10,25,-15,0,0,50.1
"Nott'ham Forest",19,20,1,16,3,9,4,13,11,33,-22,0,0,61.8
"Southampton",20,18,-2,16,3,10,3,12,14,30,-16,0,0,42
