"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,12,10,1,1,31,30,11,19,87.9,22.5,0
"Manchester City",2,2,0,12,9,1,2,29,37,11,26,97.9,67.7,0
"Tottenham",3,3,0,13,8,3,2,26,26,16,10,46.1,3.2,0
"Newcastle Utd",4,6,2,13,6,1,6,24,24,10,14,30.9,1,0
"Manchester Utd",5,5,0,12,7,3,2,23,17,16,1,45.4,2.8,0
"Chelsea",6,4,-2,12,6,3,3,21,17,15,2,39.2,1.7,0.2
"Fulham",7,9,2,13,5,4,4,19,22,22,0,1.1,0,6.4
"Brighton",8,8,0,12,5,4,3,18,19,15,4,14.5,0.4,0.4
"Liverpool",9,7,-2,12,4,4,4,16,23,15,8,32.9,0.7,0
"Crystal Palace",10,11,1,12,4,4,4,16,13,16,-3,1.1,0,6.4
"Brentford",11,10,-1,13,3,4,6,15,19,22,-3,0.4,0,11.1
"Everton",12,15,3,13,3,5,5,14,11,12,-1,0.2,0,21.1
"West Ham",13,13,0,13,4,7,2,14,11,13,-2,2,0,5.6
"Bournemouth",14,12,-2,13,3,6,4,13,12,28,-16,0,0,44.5
"Leeds United",15,16,1,12,3,6,3,12,15,19,-4,0.2,0,19.4
"Aston Villa",16,17,1,13,3,7,3,12,11,20,-9,0.1,0,18.6
"Southampton",17,14,-3,13,3,7,3,12,11,20,-9,0,0,30.2
"Leicester City",18,19,1,13,3,8,2,11,21,25,-4,0.1,0,21.7
"Wolves",19,18,-1,13,2,7,4,10,6,19,-13,0,0,43.2
"Nott'ham Forest",20,20,0,13,2,8,3,9,8,28,-20,0,0,71.2
