"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,19,16,1,2,50,45,16,29,99.7,68.5,0
"Manchester City",2,2,0,20,14,3,3,45,53,20,33,98.5,28.3,0
"Newcastle Utd",3,4,1,20,10,1,9,39,33,11,22,59.6,1.4,0
"Manchester Utd",4,3,-1,20,12,5,3,39,32,25,7,67.1,1.4,0
"Tottenham",5,5,0,21,11,7,3,36,40,31,9,27.8,0.1,0
"Brighton",6,7,1,19,9,6,4,31,37,27,10,19.5,0.2,0
"Fulham",7,6,-1,21,9,8,4,31,32,30,2,1,0,0
"Brentford",8,8,0,20,7,4,9,30,32,28,4,3.3,0,0
"Liverpool",9,9,0,19,8,6,5,29,34,25,9,18,0.1,0
"Chelsea",10,10,0,20,8,7,5,29,22,21,1,4.8,0,0
"Aston Villa",11,11,0,20,8,8,4,28,23,27,-4,0.6,0,0.1
"Crystal Palace",12,12,0,20,6,8,6,24,18,27,-9,0,0,5.8
"Nott'ham Forest",13,13,0,20,5,9,6,21,16,35,-19,0,0,21.8
"Leicester City",14,15,1,20,5,12,3,18,28,35,-7,0,0,19.4
"Leeds United",15,14,-1,19,4,9,6,18,26,33,-7,0,0,15.3
"West Ham",16,18,2,20,5,12,3,18,17,25,-8,0.1,0,18.4
"Wolves",17,16,-1,20,4,11,5,17,12,30,-18,0,0,39.6
"Bournemouth",18,17,-1,20,4,11,5,17,19,42,-23,0,0,59.9
"Everton",19,19,0,20,3,11,6,15,15,28,-13,0,0,61.6
"Southampton",20,20,0,20,4,13,3,15,17,35,-18,0,0,58.1
