"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,29,23,3,3,72,70,27,43,100,67.3,0
"Manchester City",2,2,0,28,20,4,4,64,71,26,45,100,32.6,0
"Newcastle Utd",3,5,2,27,13,3,11,50,41,19,22,63.4,0.1,0
"Tottenham",4,4,0,29,15,9,5,50,53,41,12,30.2,0,0
"Manchester Utd",5,3,-2,27,15,7,5,50,41,37,4,66,0,0
"Brighton",6,6,0,27,13,7,7,46,51,34,17,26.9,0,0
"Aston Villa",7,9,2,29,13,11,5,44,39,40,-1,1.3,0,0
"Liverpool",8,7,-1,28,12,9,7,43,48,33,15,10,0,0
"Brentford",9,8,-1,28,10,5,13,43,46,37,9,2.1,0,0
"Fulham",10,10,0,28,11,11,6,39,39,39,0,0.1,0,0
"Chelsea",11,11,0,29,10,10,9,39,29,30,-1,0,0,0
"Crystal Palace",12,13,1,29,7,13,9,30,24,39,-15,0,0,6.3
"Leeds United",13,12,-1,29,7,14,8,29,38,49,-11,0,0,12.7
"Wolves",14,14,0,29,7,15,7,28,23,42,-19,0,0,25.5
"West Ham",15,18,3,27,7,14,6,27,25,34,-9,0,0,12.6
"Everton",16,15,-1,29,6,14,9,27,23,41,-18,0,0,35
"Nott'ham Forest",17,16,-1,29,6,14,9,27,24,52,-28,0,0,51.8
"Bournemouth",18,19,1,29,7,16,6,27,27,57,-30,0,0,41.1
"Leicester City",19,17,-2,29,7,18,4,25,40,51,-11,0,0,38.6
"Southampton",20,20,0,29,6,18,5,23,23,47,-24,0,0,76.4
