"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,2,1,3,3,0,0,9,9,2,7,59,10,0
"Manchester City",2,1,-1,3,2,0,1,7,9,3,6,94,58.2,0
"Tottenham",4,4,0,3,2,0,1,7,7,3,4,54,8.9,0.1
"Leeds United",3,6,3,3,2,0,1,7,7,3,4,7.6,0.2,8.1
"Brighton",5,8,3,3,2,0,1,7,4,1,3,23.3,1.3,2.1
"Newcastle Utd",6,5,-1,3,1,0,2,5,5,3,2,9.2,0.6,5.9
"Fulham",7,13,6,3,1,0,2,5,5,4,1,3.2,0,20.9
"Brentford",8,3,-5,3,1,1,1,4,8,5,3,6.2,0.4,13.1
"Crystal Palace",9,16,7,3,1,1,1,4,4,4,0,10.2,0.1,6.8
"Nott'ham Forest",10,10,0,3,1,1,1,4,2,3,-1,0.7,0,47.4
"Southampton",11,17,6,3,1,1,1,4,5,7,-2,2.2,0.2,24.8
"Chelsea",12,7,-5,3,1,1,1,4,3,5,-2,39.1,3.7,0.8
"Aston Villa",13,9,-4,3,1,2,0,3,3,6,-3,5.8,0.2,8.7
"Bournemouth",14,11,-3,3,1,2,0,3,2,7,-5,0.6,0,41.6
"Liverpool",15,12,-3,2,0,0,2,2,3,3,0,71.4,15.2,0.2
"Everton",16,18,2,3,0,2,1,1,2,4,-2,0.9,0.1,39.9
"Wolves",17,14,-3,3,0,2,1,1,1,3,-2,1.7,0,24.3
"Leicester City",18,15,-3,3,0,2,1,1,5,8,-3,2.2,0,20.9
"Manchester Utd",19,20,1,2,0,2,0,0,1,6,-5,6.5,0.8,8.4
"West Ham",20,19,-1,3,0,3,0,0,0,5,-5,2.2,0.1,26
